qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
HGDLLJHE_00030	MF	0004803	transposase activity	8.5983016295	0.730467938186	1	74
HGDLLJHE_00030	BP	0006313	DNA transposition	8.1105616558	0.718215774562	1	74
HGDLLJHE_00030	MF	0003677	DNA binding	3.17535353351	0.563439454976	4	74
HGDLLJHE_00032	BP	0046402	O antigen metabolic process	12.9011878115	0.826232605575	1	99
HGDLLJHE_00032	MF	0070567	cytidylyltransferase activity	9.48030729161	0.751772363093	1	99
HGDLLJHE_00032	BP	0009103	lipopolysaccharide biosynthetic process	7.8580927207	0.711728848062	3	99
HGDLLJHE_00033	MF	0008460	dTDP-glucose 4,6-dehydratase activity	10.3529296247	0.77189506568	1	98
HGDLLJHE_00033	BP	0009812	flavonoid metabolic process	10.0685689421	0.765434241998	1	98
HGDLLJHE_00033	BP	0140115	export across plasma membrane	8.7473285466	0.73414182102	2	98
HGDLLJHE_00033	BP	0009226	nucleotide-sugar biosynthetic process	7.72789323158	0.708342765471	3	98
HGDLLJHE_00033	BP	0010817	regulation of hormone levels	7.66929400932	0.706809478091	4	98
HGDLLJHE_00033	MF	0016740	transferase activity	2.28242840118	0.52406391973	5	98
HGDLLJHE_00033	BP	0046148	pigment biosynthetic process	7.0951894761	0.691466290584	6	98
HGDLLJHE_00033	MF	0000166	nucleotide binding	0.0239840311791	0.327186802545	7	1
HGDLLJHE_00033	BP	1901617	organic hydroxy compound biosynthetic process	6.55773759162	0.676529320998	9	98
HGDLLJHE_00033	BP	0009966	regulation of signal transduction	6.37453274098	0.671298593504	10	98
HGDLLJHE_00033	BP	0006793	phosphorus metabolic process	3.55891266243	0.578620970388	19	98
HGDLLJHE_00034	MF	0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity	11.8863402976	0.805299828155	1	1
HGDLLJHE_00034	BP	0019305	dTDP-rhamnose biosynthetic process	10.5743719511	0.776865126644	1	1
HGDLLJHE_00034	CC	0005829	cytosol	2.70348661297	0.543441945206	1	1
HGDLLJHE_00034	BP	0045226	extracellular polysaccharide biosynthetic process	9.13075027451	0.743452747305	3	1
HGDLLJHE_00035	MF	0008460	dTDP-glucose 4,6-dehydratase activity	10.5398402618	0.776093544539	1	1
HGDLLJHE_00035	BP	0009812	flavonoid metabolic process	10.2503457631	0.769574660245	1	1
HGDLLJHE_00035	BP	0140115	export across plasma membrane	8.90525184083	0.73800102789	2	1
HGDLLJHE_00035	BP	0009226	nucleotide-sugar biosynthetic process	7.86741175429	0.711970127449	3	1
HGDLLJHE_00035	BP	0010817	regulation of hormone levels	7.80775458822	0.710423061082	4	1
HGDLLJHE_00035	MF	0016740	transferase activity	2.32363510904	0.526035247869	5	1
HGDLLJHE_00035	BP	0046148	pigment biosynthetic process	7.22328523576	0.694941991022	6	1
HGDLLJHE_00035	BP	1901617	organic hydroxy compound biosynthetic process	6.67613025489	0.679870789387	9	1
HGDLLJHE_00035	BP	0009966	regulation of signal transduction	6.4896178443	0.67459305562	10	1
HGDLLJHE_00035	BP	0006793	phosphorus metabolic process	3.62316487481	0.581082579013	19	1
HGDLLJHE_00036	MF	0016757	glycosyltransferase activity	5.42547534764	0.642909275114	1	1
HGDLLJHE_00037	MF	0046920	alpha-(1->3)-fucosyltransferase activity	13.6481152241	0.841117523198	1	4
HGDLLJHE_00037	BP	0036065	fucosylation	11.5206889584	0.797539878801	1	4
HGDLLJHE_00037	CC	0016020	membrane	1.03794105479	0.452628877424	1	4
HGDLLJHE_00037	BP	0006486	protein glycosylation	7.61710705778	0.705439033267	2	4
HGDLLJHE_00038	BP	0006044	N-acetylglucosamine metabolic process	10.3884195117	0.772695153929	1	1
HGDLLJHE_00038	MF	0008375	acetylglucosaminyltransferase activity	9.77099600078	0.758574761938	1	1
HGDLLJHE_00038	CC	0016020	membrane	1.03701949719	0.452563191972	1	1
HGDLLJHE_00038	BP	0006487	protein N-linked glycosylation	8.85179758455	0.736698614057	3	1
HGDLLJHE_00038	MF	0140096	catalytic activity, acting on a protein	3.40973633724	0.57281864461	5	1
HGDLLJHE_00039	MF	0042910	xenobiotic transmembrane transporter activity	8.38471430275	0.725146509123	1	1
HGDLLJHE_00039	BP	0042908	xenobiotic transport	8.07841864361	0.717395557766	1	1
HGDLLJHE_00039	CC	0005886	plasma membrane	2.47422418349	0.533094762264	1	1
HGDLLJHE_00039	MF	0015297	antiporter activity	7.60280886158	0.705062739701	2	1
HGDLLJHE_00039	BP	0055085	transmembrane transport	2.75280323323	0.545609652522	2	1
HGDLLJHE_00040	CC	0016020	membrane	1.03720466962	0.452576392767	1	1
HGDLLJHE_00041	BP	0046506	sulfolipid biosynthetic process	8.67755710896	0.732425710743	1	1
HGDLLJHE_00041	MF	0008194	UDP-glycosyltransferase activity	7.44477271672	0.700879808897	1	1
HGDLLJHE_00041	CC	0016020	membrane	1.03729395344	0.452582757319	1	1
HGDLLJHE_00041	MF	0016758	hexosyltransferase activity	6.58333562217	0.677254329267	2	1
HGDLLJHE_00041	BP	0009247	glycolipid biosynthetic process	7.00715138221	0.689059275779	3	1
HGDLLJHE_00042	MF	0016740	transferase activity	2.32388056882	0.526046938058	1	1
HGDLLJHE_00043	MF	0008460	dTDP-glucose 4,6-dehydratase activity	10.1435549089	0.767146725458	1	96
HGDLLJHE_00043	BP	0009812	flavonoid metabolic process	8.2234134653	0.721082702601	1	80
HGDLLJHE_00043	BP	0009225	nucleotide-sugar metabolic process	7.17142436738	0.693538561352	2	96
HGDLLJHE_00043	BP	0140115	export across plasma membrane	7.14430221108	0.69280257573	3	80
HGDLLJHE_00043	BP	0010817	regulation of hormone levels	6.26382716235	0.668101318953	5	80
HGDLLJHE_00043	MF	0016740	transferase activity	1.86415294524	0.502947348307	5	80
HGDLLJHE_00043	BP	0046148	pigment biosynthetic process	5.79493242903	0.654235108678	6	80
HGDLLJHE_00043	MF	0016491	oxidoreductase activity	0.0291350829633	0.329484190919	7	1
HGDLLJHE_00043	BP	1901617	organic hydroxy compound biosynthetic process	5.35597341815	0.640736012674	9	80
HGDLLJHE_00043	BP	0009966	regulation of signal transduction	5.20634249797	0.636008809328	10	80
HGDLLJHE_00043	BP	1901137	carbohydrate derivative biosynthetic process	3.26479799635	0.56705827936	18	80
HGDLLJHE_00043	BP	0034654	nucleobase-containing compound biosynthetic process	3.01204583083	0.55669818002	19	80
HGDLLJHE_00043	BP	0006793	phosphorus metabolic process	2.90671002784	0.552252587919	20	80
HGDLLJHE_00044	MF	0008879	glucose-1-phosphate thymidylyltransferase activity	11.926182601	0.806138116645	1	99
HGDLLJHE_00044	BP	0045226	extracellular polysaccharide biosynthetic process	9.06405118484	0.741847290615	1	99
HGDLLJHE_00044	CC	0016020	membrane	0.020209607669	0.325341704553	1	2
HGDLLJHE_00044	MF	0046872	metal ion binding	2.48349824208	0.533522404449	4	99
HGDLLJHE_00045	MF	0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity	11.641084066	0.800108357828	1	77
HGDLLJHE_00045	BP	0019305	dTDP-rhamnose biosynthetic process	10.3561861553	0.771968538379	1	77
HGDLLJHE_00045	CC	0005829	cytosol	2.64770435178	0.540966071954	1	77
HGDLLJHE_00045	BP	0045226	extracellular polysaccharide biosynthetic process	8.94235137723	0.738902662106	3	77
HGDLLJHE_00046	MF	0048270	methionine adenosyltransferase regulator activity	11.4137474307	0.795247137013	1	96
HGDLLJHE_00046	CC	0048269	methionine adenosyltransferase complex	10.9267016894	0.784666758001	1	96
HGDLLJHE_00046	BP	0019305	dTDP-rhamnose biosynthetic process	10.2481710767	0.769525344335	1	96
HGDLLJHE_00046	MF	0008831	dTDP-4-dehydrorhamnose reductase activity	11.3541381942	0.793964498726	2	96
HGDLLJHE_00046	BP	0006556	S-adenosylmethionine biosynthetic process	9.97649124816	0.763322681564	3	96
HGDLLJHE_00046	BP	0045226	extracellular polysaccharide biosynthetic process	8.84908260317	0.736632358693	5	96
HGDLLJHE_00046	CC	0005829	cytosol	2.62008878082	0.539730714098	5	96
HGDLLJHE_00046	BP	0046402	O antigen metabolic process	7.98591022076	0.715025803016	7	58
HGDLLJHE_00046	BP	0009103	lipopolysaccharide biosynthetic process	4.86420505544	0.624937770652	16	58
HGDLLJHE_00047	MF	0016740	transferase activity	2.326493368	0.526171336153	1	9
HGDLLJHE_00048	MF	0003978	UDP-glucose 4-epimerase activity	3.84738632953	0.589506249723	1	7
HGDLLJHE_00048	BP	0046402	O antigen metabolic process	0.745908411265	0.430103416505	1	1
HGDLLJHE_00048	CC	0016020	membrane	0.228312040826	0.374079477435	1	5
HGDLLJHE_00048	BP	0006012	galactose metabolic process	0.551838925326	0.412563071235	3	1
HGDLLJHE_00048	BP	0009103	lipopolysaccharide biosynthetic process	0.454331612136	0.402570790085	4	1
HGDLLJHE_00048	MF	0016740	transferase activity	0.615627133019	0.418626693406	5	5
HGDLLJHE_00048	MF	0008460	dTDP-glucose 4,6-dehydratase activity	0.600526137609	0.417220738445	6	1
HGDLLJHE_00049	MF	0016780	phosphotransferase activity, for other substituted phosphate groups	8.00867108512	0.715610127442	1	97
HGDLLJHE_00049	CC	0016020	membrane	0.944249705423	0.445794487169	1	90
HGDLLJHE_00049	MF	0016757	glycosyltransferase activity	0.162560706436	0.363242923366	5	3
HGDLLJHE_00050	CC	0016020	membrane	1.03860692133	0.452676319952	1	97
HGDLLJHE_00050	MF	0016829	lyase activity	0.18713241881	0.367511784492	1	4
HGDLLJHE_00050	MF	0008081	phosphoric diester hydrolase activity	0.156844525561	0.362204429448	2	2
HGDLLJHE_00050	MF	0003978	UDP-glucose 4-epimerase activity	0.121901484979	0.355395698869	3	1
HGDLLJHE_00051	BP	0016180	snRNA processing	9.63275552314	0.755352604569	1	98
HGDLLJHE_00051	MF	0004521	RNA endonuclease activity	7.32448644507	0.69766620809	1	99
HGDLLJHE_00051	MF	0004527	exonuclease activity	0.0687556826587	0.342773334602	10	1
HGDLLJHE_00052	MF	0016740	transferase activity	2.32587165234	0.526141741957	1	6
HGDLLJHE_00053	MF	0016740	transferase activity	2.317009877	0.525719483117	1	1
HGDLLJHE_00054	MF	0051287	NAD binding	6.78711981932	0.682976510817	1	30
HGDLLJHE_00054	MF	0016491	oxidoreductase activity	3.01075786052	0.556644296231	2	30
HGDLLJHE_00055	MF	0016740	transferase activity	1.5502303864	0.485485976352	1	2
HGDLLJHE_00060	CC	0016020	membrane	1.03616837839	0.452502501225	1	3
HGDLLJHE_00062	MF	0015159	polysaccharide transmembrane transporter activity	11.5847122547	0.798907397612	1	47
HGDLLJHE_00062	BP	0015774	polysaccharide transport	9.38401144635	0.749496007945	1	47
HGDLLJHE_00062	CC	0046930	pore complex	0.414124516479	0.39813984025	1	2
HGDLLJHE_00062	CC	0009279	cell outer membrane	0.263618222767	0.379251147109	2	2
HGDLLJHE_00062	MF	0015288	porin activity	0.361343080364	0.391982361431	6	2
HGDLLJHE_00062	BP	0006811	monoatomic ion transport	0.159601224488	0.362707577091	9	2
HGDLLJHE_00062	BP	0055085	transmembrane transport	0.110391972995	0.352943117461	10	2
HGDLLJHE_00063	MF	0004713	protein tyrosine kinase activity	8.84531816981	0.736540476087	1	99
HGDLLJHE_00063	CC	0005886	plasma membrane	2.47655138437	0.533202148565	1	99
HGDLLJHE_00064	CC	0005886	plasma membrane	2.47657381554	0.533203183382	1	96
HGDLLJHE_00065	MF	0005198	structural molecule activity	3.61791958636	0.580882445778	1	99
HGDLLJHE_00065	CC	0005829	cytosol	2.68346184042	0.542556118946	1	99
HGDLLJHE_00065	BP	0030261	chromosome condensation	0.0966768577389	0.349846894232	1	1
HGDLLJHE_00065	MF	0003677	DNA binding	3.17524751524	0.563435135561	2	100
HGDLLJHE_00066	MF	0016853	isomerase activity	4.79242893856	0.622566278502	1	11
HGDLLJHE_00066	MF	0140096	catalytic activity, acting on a protein	0.281455233649	0.381732018987	5	1
HGDLLJHE_00067	MF	0004637	phosphoribosylamine-glycine ligase activity	10.2740712253	0.770112349003	1	96
HGDLLJHE_00067	BP	0009113	purine nucleobase biosynthetic process	8.63502826226	0.731376278054	1	96
HGDLLJHE_00067	BP	0006189	'de novo' IMP biosynthetic process	7.67771430708	0.707030160247	3	96
HGDLLJHE_00067	MF	0005524	ATP binding	2.946750885	0.553951813992	4	96
HGDLLJHE_00067	MF	0046872	metal ion binding	2.40777626838	0.530006998065	12	96
HGDLLJHE_00068	MF	0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	10.8970253739	0.784014533306	1	93
HGDLLJHE_00068	BP	0006189	'de novo' IMP biosynthetic process	7.51729175139	0.702804713218	1	93
HGDLLJHE_00068	CC	0005829	cytosol	2.54754484995	0.536454158481	1	93
HGDLLJHE_00068	MF	0003937	IMP cyclohydrolase activity	10.8176313928	0.782265236758	2	93
HGDLLJHE_00069	BP	0006351	DNA-templated transcription	5.27685456458	0.638244803376	1	59
HGDLLJHE_00069	MF	0008270	zinc ion binding	4.8450598072	0.624306930021	1	59
HGDLLJHE_00069	MF	0003700	DNA-binding transcription factor activity	4.4329646788	0.610412890866	2	66
HGDLLJHE_00069	BP	0006355	regulation of DNA-templated transcription	3.42351250213	0.573359730929	4	66
HGDLLJHE_00069	MF	0003677	DNA binding	3.17521193405	0.56343368589	5	66
HGDLLJHE_00070	BP	0000160	phosphorelay signal transduction system	5.27487209118	0.63818214239	1	91
HGDLLJHE_00070	MF	0003677	DNA binding	3.17537078302	0.563440157752	1	93
HGDLLJHE_00070	CC	0016020	membrane	0.768406666833	0.431980589616	1	71
HGDLLJHE_00070	CC	0032993	protein-DNA complex	0.0635454933857	0.341302352095	2	1
HGDLLJHE_00070	CC	0005829	cytosol	0.0283152446365	0.329132998901	3	1
HGDLLJHE_00070	MF	0000156	phosphorelay response regulator activity	0.0830539628318	0.346545310616	5	1
HGDLLJHE_00070	BP	0006355	regulation of DNA-templated transcription	3.37522301156	0.571458245911	6	91
HGDLLJHE_00070	MF	0001067	transcription regulatory region nucleic acid binding	0.058219411684	0.33973487099	8	1
HGDLLJHE_00071	MF	0022857	transmembrane transporter activity	3.18836431938	0.563968996373	1	96
HGDLLJHE_00071	BP	0055085	transmembrane transport	2.75543062645	0.545724592344	1	96
HGDLLJHE_00071	CC	0005886	plasma membrane	2.47658568894	0.533203731136	1	96
HGDLLJHE_00072	MF	0008792	arginine decarboxylase activity	12.2126010257	0.812123645418	1	95
HGDLLJHE_00072	BP	0006527	arginine catabolic process	9.89309649295	0.76140181638	1	95
HGDLLJHE_00072	CC	0005829	cytosol	2.68134301615	0.542462196455	1	95
HGDLLJHE_00072	MF	0008923	lysine decarboxylase activity	7.16574098986	0.693384452891	2	41
HGDLLJHE_00072	MF	0030170	pyridoxal phosphate binding	6.42735368604	0.67281432308	4	95
HGDLLJHE_00073	BP	0015074	DNA integration	7.08117719791	0.691084189778	1	8
HGDLLJHE_00073	MF	0003677	DNA binding	3.17477979859	0.563416078907	1	8
HGDLLJHE_00073	BP	0006310	DNA recombination	5.66022974902	0.650148766401	2	8
HGDLLJHE_00077	MF	0005524	ATP binding	3.06869397238	0.559056831572	1	4
HGDLLJHE_00081	MF	0043565	sequence-specific DNA binding	4.8317574781	0.623867880873	1	98
HGDLLJHE_00081	BP	0006355	regulation of DNA-templated transcription	3.35510802757	0.570662171652	1	98
HGDLLJHE_00081	MF	0003700	DNA-binding transcription factor activity	4.34439055517	0.60734328813	2	98
HGDLLJHE_00082	MF	0106413	RNA dihydrouridine synthase activity	10.880653513	0.783654333146	1	94
HGDLLJHE_00082	BP	0002943	tRNA dihydrouridine synthesis	10.6132092904	0.777731411216	1	94
HGDLLJHE_00082	MF	0010181	FMN binding	7.37793086963	0.699097276412	4	90
HGDLLJHE_00082	MF	0000049	tRNA binding	6.62425142192	0.678410259022	6	90
HGDLLJHE_00082	MF	0050660	flavin adenine dinucleotide binding	6.00409141186	0.66048715463	7	94
HGDLLJHE_00082	MF	0140101	catalytic activity, acting on a tRNA	5.77042123768	0.653495099981	8	94
HGDLLJHE_00082	MF	0003677	DNA binding	0.033495846428	0.331274315985	25	1
HGDLLJHE_00083	MF	0008276	protein methyltransferase activity	7.69394046906	0.707455080249	1	94
HGDLLJHE_00083	BP	0032259	methylation	5.15221305746	0.634282029211	1	100
HGDLLJHE_00083	CC	0005840	ribosome	3.34566626466	0.570287679843	1	95
HGDLLJHE_00083	BP	0006338	chromatin remodeling	3.63861245887	0.581671139318	2	52
HGDLLJHE_00083	CC	0005829	cytosol	2.54732332456	0.536444082005	4	94
HGDLLJHE_00083	MF	0140993	histone modifying activity	4.3999706928	0.609273075164	5	52
HGDLLJHE_00084	MF	0004075	biotin carboxylase activity	10.0116565467	0.764130250897	1	84
HGDLLJHE_00084	BP	2001295	malonyl-CoA biosynthetic process	9.22662491148	0.745750226248	1	88
HGDLLJHE_00084	MF	0003989	acetyl-CoA carboxylase activity	7.41273242022	0.700026364065	2	75
HGDLLJHE_00084	MF	0005524	ATP binding	3.00834698191	0.556543403236	7	98
HGDLLJHE_00084	BP	0006633	fatty acid biosynthetic process	6.69917402721	0.680517713769	8	98
HGDLLJHE_00084	MF	0046872	metal ion binding	2.45810614903	0.532349621709	15	98
HGDLLJHE_00085	MF	0003989	acetyl-CoA carboxylase activity	9.60284997574	0.754652519887	1	97
HGDLLJHE_00085	CC	0009317	acetyl-CoA carboxylase complex	9.57180660313	0.753924644789	1	97
HGDLLJHE_00085	BP	0006633	fatty acid biosynthetic process	6.63586223205	0.67873763029	1	97
HGDLLJHE_00086	BP	0019631	quinate catabolic process	11.5915071163	0.799052311811	1	98
HGDLLJHE_00086	MF	0003855	3-dehydroquinate dehydratase activity	10.4138264062	0.773267090901	1	98
HGDLLJHE_00086	BP	0009423	chorismate biosynthetic process	8.14568842976	0.719110273753	3	92
HGDLLJHE_00086	BP	0009073	aromatic amino acid family biosynthetic process	7.13361136707	0.692512085676	5	98
HGDLLJHE_00086	BP	0008652	amino acid biosynthetic process	4.79024688692	0.622493906057	12	98
HGDLLJHE_00087	BP	0019427	acetyl-CoA biosynthetic process from acetate	11.2107722869	0.790865774767	1	95
HGDLLJHE_00087	MF	0003987	acetate-CoA ligase activity	10.8355672032	0.782660978291	1	95
HGDLLJHE_00087	CC	0005829	cytosol	2.57500373295	0.537699799789	1	95
HGDLLJHE_00087	MF	0016208	AMP binding	9.80231103871	0.759301491112	2	95
HGDLLJHE_00087	MF	0005524	ATP binding	2.91627788977	0.552659680999	7	95
HGDLLJHE_00087	MF	0046872	metal ion binding	2.3828769275	0.528838996111	15	95
HGDLLJHE_00088	MF	0003987	acetate-CoA ligase activity	11.3747772774	0.794408979222	1	2
HGDLLJHE_00088	BP	0006085	acetyl-CoA biosynthetic process	9.27636178708	0.74693738717	1	2
HGDLLJHE_00088	CC	0005829	cytosol	2.70314358274	0.543426798413	1	2
HGDLLJHE_00089	MF	0008408	3'-5' exonuclease activity	7.62883387659	0.705747390932	1	98
HGDLLJHE_00089	CC	0005829	cytosol	2.6563150557	0.541349945219	1	98
HGDLLJHE_00089	BP	0071897	DNA biosynthetic process	0.390056973462	0.395383994033	1	6
HGDLLJHE_00089	MF	0003676	nucleic acid binding	2.13494776707	0.516858405846	6	98
HGDLLJHE_00089	MF	0003887	DNA-directed DNA polymerase activity	0.485026808424	0.405822893566	10	6
HGDLLJHE_00090	MF	0008773	[protein-PII] uridylyltransferase activity	12.1034406473	0.809850792641	1	97
HGDLLJHE_00090	BP	1903830	magnesium ion transmembrane transport	9.83898210848	0.760151043859	1	97
HGDLLJHE_00090	CC	0016020	membrane	1.0386075081	0.452676361753	1	97
HGDLLJHE_00090	MF	0015095	magnesium ion transmembrane transporter activity	10.1065726635	0.766302941638	2	97
HGDLLJHE_00091	MF	0015528	lactose:proton symporter activity	13.5707490974	0.839594986002	1	97
